"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"40903","10/18/2014",2014,500,"DP","BANKER","REGIONS BANK","Regions Financial","h1001411897 "
"40904","10/29/2014",2014,500,"DP","INVESTMENT BANKER","GOLDMAN SACHS","Goldman Sachs","U00000044361"
"40905","06/09/2013",2014,1000,"DW","LENDER","BANK OF AMERICA","Bank of America","m0001225011 "
"40906","04/24/2013",2014,100,"RW","MORTGAGE AGENT","BANK OF AMERICA","Bank of America","m0001192672 "
"40907","04/24/2013",2014,500,"RW","EXECUTIVE VP","MERRILL LYNCH","Merrill Lynch","h30017256671"
"40908","06/13/2014",2014,208,"PB","MANAGING DIRECTOR","MORGAN STANLEY","","Y0000008170L"
"40909","06/24/2014",2014,1000,"DW","CHIEF HUMAN RESOURCES OFFICER","BNY MELLON","[24T Contribution]","n0001400259A"
"40910","06/18/2014",2014,1000,"DW","MANAGING DIRECTOR","WELLS FARGO","[24T Contribution]","j1002112905 "
"40911","06/18/2014",2014,1000,"DL","MANAGING DIRECTOR","WELLS FARGO","[24T Contribution]","j1002112905 "
"40912","03/31/2014",2014,1000,"PI","FINANCIAL ADVISOR","MORGAN STANLEY","","g0000221491 "
"40913","06/13/2014",2014,2600,"DW","INVESTOR","MORGAN STANLEY","[24T Contribution]","h1001145567 "
"40914","06/20/2014",2014,350,"DL","IT ARCHITECT","BANK OF AMERICA","[24T Contribution]","m00014639311"
"40915","06/30/2014",2014,1000,"DL","FINANCIAL ADVISOR","BANK OF AMERICA","[24T Contribution]","i3003480111 "
"40916","05/28/2014",2014,1000,"RW","FINANCIAL ADVISOR","MERRILL LYNCH","Merrill Lynch","h1001331523 "
"40917","12/30/2013",2014,500,"RL","INVESTMENT MANAGEMENT","GOLDMAN SACHS","Goldman Sachs","n0001245717 "
"40918","03/31/2014",2014,250,"RL","INVESTMENT MANAGEMENT","GOLDMAN SACHS","Goldman Sachs","n0001245717 "
"40919","03/29/2014",2014,500,"RL","FINANCIAL ADVISOR","BANK OF AMERICA","Bank of America","i3003980542 "
"40920","04/04/2013",2014,2600,"DP","ATTORNEY","BANK OF AMERICA","Bank of America","c0130469240 "
