cycle,bank_name,share_donations_d,n_donations_all,dem_55,dem_60,share_donations_d_imp,n_donations_imp,dem_55_imp,dem_60_imp,dem_dollar,gop_dollar,gvkey_bank,kempf_share,kempf_dem
2012,Wells Fargo and Company,0.4111111111111111,540,FALSE,NA,0.4473684210526316,38,FALSE,NA,1237831,3171157,8007,0.28075172806095183,0
2014,Bank of New York Mellon,0.35,60,FALSE,FALSE,0.7142857142857143,7,TRUE,TRUE,638914,471751,2019,0.5752535643060689,1
2014,Bofa Securities,0.3678861788617886,492,FALSE,FALSE,0.4583333333333333,48,NA,NA,138405,804825,11856,0.14673515473426418,0
2014,Cit Group Incorporated,0.25,4,FALSE,FALSE,0,2,FALSE,FALSE,67000,152350,149738,0.305447914292227,0
2014,Citi,0.5333333333333333,45,NA,NA,0,5,FALSE,FALSE,1049892,1360574,3243,0.43555561455751707,0
2014,Comerica Incorporated,0.18181818181818182,11,FALSE,FALSE,0,6,FALSE,FALSE,NA,NA,NA,NA,NA
2014,Fifth Third Bank,0,2,FALSE,FALSE,NA,NA,NA,NA,36925,168900,4640,0.17939997570751853,0
2014,First Bank National Association,0.0625,96,FALSE,FALSE,0.09523809523809523,21,FALSE,FALSE,NA,NA,NA,NA,NA
2014,Goldman Sachs and Company,0.45564516129032256,248,NA,NA,0.7692307692307693,13,TRUE,TRUE,1679914,2607180,114628,0.3918537825389413,0
2014,Jefferies,0.6,5,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,JP Morgan,0.3877551020408163,98,FALSE,FALSE,0.2857142857142857,7,FALSE,FALSE,1076869,1695374,2968,0.38844682807387376,0
2014,Keybank,0.375,16,FALSE,FALSE,0.3333333333333333,6,FALSE,FALSE,56804,112050,9783,0.3364089686948488,0
2014,Mandt Bank,0.6,10,TRUE,TRUE,0.8,5,TRUE,TRUE,87300,23400,4699,0.7886178861788617,1
2014,Morgan Stanley,0.3978201634877384,367,FALSE,FALSE,0.43333333333333335,30,FALSE,NA,941090,1165137,12124,0.4468131877523173,0
2014,Northern Trust Corporation,0.625,8,TRUE,TRUE,0,1,FALSE,FALSE,61864,43606,7982,0.5865554186024462,1
2014,PNC Bank,0.6666666666666666,21,TRUE,TRUE,0.8333333333333334,6,TRUE,TRUE,142208,467855,8245,0.2331037941983041,0
2014,Regions Bank,0.1276595744680851,47,FALSE,FALSE,0.1,10,FALSE,FALSE,230437,463856,4674,0.3319016611142558,0
2014,State Street Bank,0.5454545454545454,11,NA,NA,0.6666666666666666,3,TRUE,TRUE,90750,109500,10035,0.45318352059925093,NA
2014,Truist Financial,0.25,48,FALSE,FALSE,0.2222222222222222,9,FALSE,FALSE,138405,804825,11856,0.14673515473426418,0
2014,Wells Fargo and Company,0.4218289085545723,339,FALSE,NA,0.45652173913043476,46,NA,NA,858601,1866452,8007,0.3150768076804378,0
2016,Bank of New York Mellon,0.8787878787878788,33,TRUE,TRUE,0.7142857142857143,7,TRUE,TRUE,416041,269911,2019,0.6065161993842135,1
2016,Bofa Securities,0.3492647058823529,272,FALSE,FALSE,0.2962962962962963,27,FALSE,FALSE,184507,1140680,11856,0.1392309160895783,0
2016,Cit Group Incorporated,0.3333333333333333,3,FALSE,FALSE,NA,NA,NA,NA,65885,524922,149738,0.11151695900691766,0
2016,Citi,0.5392156862745098,102,NA,NA,0.7,10,TRUE,TRUE,1499563,1432295,3243,0.5114719062110102,NA
2016,Comerica Incorporated,0.8,5,TRUE,TRUE,0.5,2,NA,NA,NA,NA,NA,NA,NA
2016,Fifth Third Bank,0,11,FALSE,FALSE,0,4,FALSE,FALSE,28520,1187795,4640,0.02344787328940283,0
2016,First Bank National Association,0.05263157894736842,19,FALSE,FALSE,0.16666666666666666,6,FALSE,FALSE,NA,NA,NA,NA,NA
2016,Goldman Sachs and Company,0.30288461538461536,208,FALSE,FALSE,0.4375,16,FALSE,NA,2596691,3299376,114628,0.440410700896038,0
2016,Jefferies,0.21428571428571427,14,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,JP Morgan,0.5403225806451613,124,NA,NA,0.5294117647058824,17,NA,NA,1835168,1729640,2968,0.5148013581657133,NA
2016,Keybank,0.14285714285714285,7,FALSE,FALSE,0.5,2,NA,NA,45906,1191705,9783,0.03709243049714329,0
2016,Mandt Bank,0.3333333333333333,3,FALSE,FALSE,1,2,TRUE,TRUE,259463,40930,4699,0.8637451605064033,1
2016,Morgan Stanley,0.4681818181818182,220,NA,NA,0.5294117647058824,17,NA,NA,1503110,2052356,12124,0.42276033577595734,0
2016,Northern Trust Corporation,0.42857142857142855,14,FALSE,NA,0.5,6,NA,NA,176703,65521,7982,0.7295024440187595,1
2016,PNC Bank,0.5,8,NA,NA,0.6666666666666666,3,TRUE,TRUE,515410,1198055,8245,0.3007998412573353,0
2016,Regions Bank,0.08695652173913043,23,FALSE,FALSE,0,2,FALSE,FALSE,193016,478142,4674,0.2875865295504188,0
2016,State Street Bank,0.25925925925925924,27,FALSE,FALSE,0.42857142857142855,7,FALSE,NA,157191,190723,10035,0.45180993004018233,NA
2016,SVB Financial Group,1,1,TRUE,TRUE,NA,NA,NA,NA,62339,10866,17120,0.8515675158800629,1
2016,Truist Financial,0.2631578947368421,19,FALSE,FALSE,0,2,FALSE,FALSE,184507,1140680,11856,0.1392309160895783,0
2016,US Bancorp,0.1111111111111111,9,FALSE,FALSE,0,5,FALSE,FALSE,425221,978216,4723,0.3029854564187776,0
2016,Wells Fargo and Company,0.43656716417910446,268,FALSE,NA,0.45,40,FALSE,NA,2218798,2250958,8007,0.49640248818951194,NA
2016,Zions Bancorporation,0,3,FALSE,FALSE,NA,NA,NA,NA,38352,266975,11687,0.12560959233870572,0
2018,Bank of New York Mellon,0.6744186046511628,86,TRUE,TRUE,0.7,10,TRUE,TRUE,556614,380012,2019,0.5942756233544659,1
2018,Bofa Securities,0.5579078455790785,803,TRUE,NA,0.4,60,FALSE,FALSE,158136,1056806,11856,0.13015929978550417,0
2018,Cit Group Incorporated,0.42857142857142855,7,FALSE,NA,0,1,FALSE,FALSE,19129,4143,149738,0.8219749054657958,1
2018,Citi,0.7188612099644128,281,TRUE,TRUE,0.782608695652174,23,TRUE,TRUE,978270,1030290,3243,0.4870504241844904,NA
2018,Comerica Incorporated,0.3870967741935484,31,FALSE,FALSE,0.3333333333333333,6,FALSE,FALSE,NA,NA,NA,NA,NA
2018,Fifth Third Bank,0.48717948717948717,39,NA,NA,0.6,5,TRUE,TRUE,40075,155181,4640,0.2052433728028844,0
2018,First Bank National Association,0.10655737704918032,122,FALSE,FALSE,0.06060606060606061,33,FALSE,FALSE,NA,NA,NA,NA,NA
2018,Goldman Sachs and Company,0.6715976331360947,338,TRUE,TRUE,0.7435897435897436,39,TRUE,TRUE,2680129,2379170,114628,0.5297431521639658,NA
2018,Jefferies,0.5454545454545454,22,NA,NA,0.6,5,TRUE,TRUE,NA,NA,NA,NA,NA
2018,JP Morgan,0.7083333333333334,504,TRUE,TRUE,0.6875,32,TRUE,TRUE,1679739,1289959,2968,0.5656262017215219,1
2018,Keybank,0.631578947368421,19,TRUE,TRUE,0.6,5,TRUE,TRUE,55637,144129,9783,0.27851085770351314,0
2018,Mandt Bank,0.8333333333333334,30,TRUE,TRUE,0.7,10,TRUE,TRUE,97892,30535,4699,0.7622384701036387,1
2018,Morgan Stanley,0.612,500,TRUE,TRUE,0.5581395348837209,43,TRUE,NA,1303147,1100134,12124,0.5422366340016003,NA
2018,Northern Trust Corporation,0.8181818181818182,44,TRUE,TRUE,0.8888888888888888,9,TRUE,TRUE,145174,41172,7982,0.7790561643394546,1
2018,PNC Bank,0.559322033898305,59,TRUE,NA,0.4,10,FALSE,FALSE,253145,803492,8245,0.23957612690072372,0
2018,Regions Bank,0.3333333333333333,33,FALSE,FALSE,0.4,5,FALSE,FALSE,320786,526966,4674,0.37839604035142355,0
2018,Southtrust Bank,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,State Street Bank,0.7191011235955056,89,TRUE,TRUE,0.6153846153846154,26,TRUE,TRUE,196626,171778,10035,0.5337238466466162,NA
2018,Truist Financial,0.3333333333333333,69,FALSE,FALSE,0.18181818181818182,11,FALSE,FALSE,158136,1056806,11856,0.13015929978550417,0
2018,US Bancorp,0.5,12,NA,NA,0,3,FALSE,FALSE,392668,707186,4723,0.35701829515553885,0
2018,Wells Fargo and Company,0.6175115207373272,868,TRUE,TRUE,0.6333333333333333,60,TRUE,TRUE,1498180,1445350,8007,0.5089739190699603,NA
2018,Zions Bancorporation,0.5,4,NA,NA,1,1,TRUE,TRUE,40392,269839,11687,0.13019975437657746,0
2020,Bank of New York Mellon,0.8425925925925926,216,TRUE,TRUE,0.8,10,TRUE,TRUE,812408,354489,2019,0.6962122620933981,1
2020,Bofa Securities,0.6874340021119324,1894,TRUE,TRUE,0.6344086021505376,93,TRUE,TRUE,711663,1256669,11856,0.361556383780785,0
2020,Cit Group Incorporated,0.6875,16,TRUE,TRUE,NA,NA,NA,NA,29601,2595,149738,0.9193999254565784,1
2020,Citi,0.7927007299270074,685,TRUE,TRUE,0.7272727272727273,44,TRUE,TRUE,1379598,784112,3243,0.6376076276395636,1
2020,Comerica Incorporated,0.7105263157894737,76,TRUE,TRUE,0.5,8,NA,NA,NA,NA,NA,NA,NA
2020,Fifth Third Bank,0.625,144,TRUE,TRUE,0.4,15,FALSE,FALSE,224299,313530,4640,0.41704519466224393,0
2020,First Bank National Association,0.2765957446808511,94,FALSE,FALSE,0.11764705882352941,17,FALSE,FALSE,NA,NA,NA,NA,NA
2020,General Electric Capital Corporation,1,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Goldman Sachs and Company,0.8,445,TRUE,TRUE,0.775,40,TRUE,TRUE,3027686,1676858,114628,0.6435663052572151,1
2020,Jefferies,0.84,75,TRUE,TRUE,1,5,TRUE,TRUE,NA,NA,NA,NA,NA
2020,JP Morgan,0.7929961089494163,1285,TRUE,TRUE,0.782608695652174,69,TRUE,TRUE,3632669,1849901,2968,0.6625850650333693,1
2020,Keybank,0.625,24,TRUE,TRUE,1,1,TRUE,TRUE,113032,201020,9783,0.35991491854852065,0
2020,Mandt Bank,0.9036144578313253,83,TRUE,TRUE,0.6,5,TRUE,TRUE,166511,54768,4699,0.7524934584845376,1
2020,Morgan Stanley,0.653179190751445,865,TRUE,TRUE,0.6774193548387096,31,TRUE,TRUE,2520420,1439612,12124,0.6364645538217873,1
2020,Northern Trust Corporation,0.8373983739837398,123,TRUE,TRUE,0.6428571428571429,14,TRUE,TRUE,261230,79739,7982,0.7661400303253375,1
2020,PNC Bank,0.7792207792207793,154,TRUE,TRUE,0.45454545454545453,11,NA,NA,661686,779191,8245,0.45922448619833617,NA
2020,Regions Bank,0.54,100,NA,NA,0.5,6,NA,NA,560903,696968,4674,0.4459145651660623,0
2020,Southtrust Bank,0.5,2,NA,NA,0,1,FALSE,FALSE,NA,NA,NA,NA,NA
2020,State Street Bank,0.8128654970760234,171,TRUE,TRUE,0.5862068965517241,29,TRUE,NA,386280,175314,10035,0.6878278614087757,1
2020,SVB Financial Group,1,3,TRUE,TRUE,NA,NA,NA,NA,182946,14963,17120,0.9243945449676366,1
2020,Truist Financial,0.5102040816326531,98,NA,NA,0.2777777777777778,18,FALSE,FALSE,711663,1256669,11856,0.361556383780785,0
2020,US Bancorp,0.6521739130434783,23,TRUE,TRUE,NA,NA,NA,NA,976889,646088,4723,0.6019117954228557,1
2020,Wells Fargo and Company,0.7166793602437167,2626,TRUE,TRUE,0.625,88,TRUE,TRUE,4617894,2754341,8007,0.6263899617958462,1
2020,Zions Bancorporation,0.717948717948718,39,TRUE,TRUE,0.5,2,NA,NA,102095,148821,11687,0.40688915812463133,0
